x,Curve1
9.766e-10,0.00209
1.1864e-08,-0.00112
1.5832e-08,0.00083
3.7557e-08,-0.00372
5.5172e-08,-0.00181
7.1828e-08,-0.00401
1.1415e-07,0.03736
1.1548e-07,0.10596
1.1648e-07,0.01448
1.3416e-07,-0.00221
1.5303e-07,0.06634
1.7814e-07,0.39891
1.9554e-07,0.23878
1.9887e-07,0.05374
2.298e-07,0.19921
2.664e-07,0.50683
2.6904e-07,0.70849
2.8547e-07,0.34672
3.1598e-07,0.23649
3.6452e-07,0.51501
7.1873e-07,0.83903
9.285e-07,0.79109
1.7258e-06,0.76379
1.7587e-06,0.87604
1.7647e-06,0.75338
1.7839e-06,0.81783
1.9699e-06,0.83649
2.5293e-06,0.89459
2.9469e-06,0.9465
1.8785e-05,0.96437
1.9067e-05,0.91031
2.0096e-05,0.93731
5.9486e-05,0.96385
6.0783e-05,0.94929
6.8946e-05,0.98458
7.389e-05,0.96791
8.3171e-05,0.95746
9.623e-05,0.96779
0.00013071,0.93231
0.00013144,0.96557
0.00016338,0.97379
0.0002943,0.90284
0.0003095,0.77392
0.00032658,0.95061
0.00035763,0.91938
0.00047608,0.90678
0.00068454,0.63842
0.00075258,0.77352
0.00076158,0.8442
0.00077438,0.80053
0.00082364,0.88158
0.0011218,0.71928
0.0011398,0.67146
0.0014094,0.64849
0.0014338,0.75036
0.0017544,0.66503
0.0019589,0.60677
0.0029271,0.56708
0.0037147,0.41313
0.0039992,0.42349
0.0057403,0.14474
0.0059704,0.09275
0.0077213,0.05105
0.0079812,0.10509
0.0082267,0.1425
0.008937,0.06346
0.011963,0.08412
0.018014,0.09017
0.020114,0.03191
